,logFC,logCPM,PValue,FDR
HIGD2A,-1.333007678,4.433586755,4.07E-11,1.47E-09
MRPL12,-1.682446439,3.05733627,4.20E-11,1.51E-09
IMPDH2,-1.268094614,4.065108868,4.37E-11,1.56E-09
DUS1L,-1.246723058,4.832181601,4.39E-11,1.57E-09
NOP56,-1.226128789,4.299337493,4.39E-11,1.57E-09
NDUFB11,-1.429023388,4.103830973,4.64E-11,1.65E-09
GPX4,-1.606794855,5.843337865,4.77E-11,1.69E-09
RACK1,-1.287611864,8.147401641,5.26E-11,1.83E-09
LY9,-1.699644,3.739763667,5.31E-11,1.84E-09
SIRPG,-2.167584566,2.797742089,5.45E-11,1.88E-09
EBP,-1.73714692,2.963980413,5.47E-11,1.88E-09
LY6E,-4.035825505,2.767923419,5.58E-11,1.91E-09
C7orf50,-1.623384857,3.56739362,5.61E-11,1.91E-09
SHFL,-1.788960709,4.710800215,5.85E-11,1.98E-09
NDUFV1,-1.31750068,4.579210574,6.30E-11,2.12E-09
MRPL4,-1.331325068,3.296841212,6.48E-11,2.17E-09
MZT2B,-2.230678616,4.393368512,6.69E-11,2.24E-09
OTOF,-5.644585991,3.140502697,6.73E-11,2.24E-09
ATIC,-1.326676228,3.193755464,6.74E-11,2.24E-09
SKAP1,-2.015135613,3.767479906,7.12E-11,2.34E-09
CD2,-2.046515825,5.342420642,7.50E-11,2.44E-09
DCXR,-1.378166956,3.60389343,8.16E-11,2.62E-09
SNRPA,-1.185854015,3.714777563,8.17E-11,2.62E-09
DHX58,-2.714501182,4.37249995,8.40E-11,2.66E-09
RPL10,-1.614372092,7.654716045,9.02E-11,2.82E-09
ATP5MC2,-1.125374987,5.303962626,1.01E-10,3.14E-09
EDF1,-1.121533418,6.010605037,1.06E-10,3.28E-09
TECR,-1.418495291,4.25100772,1.10E-10,3.40E-09
BOP1,-1.342049987,2.908282922,1.17E-10,3.56E-09
SEPTIN6,-1.085813092,6.27783816,1.20E-10,3.66E-09
RPL37A,-1.379574167,6.807739754,1.27E-10,3.82E-09
DPH2,-1.470984443,2.461991937,1.33E-10,3.98E-09
IGKC,-2.825364945,8.920708067,1.44E-10,4.27E-09
ECHS1,-1.190329732,3.338191791,1.47E-10,4.33E-09
CRIP1,-1.931278475,5.689157867,1.51E-10,4.44E-09
SHMT2,-1.243029736,4.077144018,1.58E-10,4.62E-09
HES4,-4.694808654,2.964794948,1.67E-10,4.86E-09
RPS13,-1.576118189,5.466156133,1.67E-10,4.84E-09
GADD45GIP1,-2.189022539,3.51443566,1.69E-10,4.89E-09
PI16,-2.57821168,0.989265772,1.77E-10,5.11E-09
RNASEH2B,-1.506982242,2.650978154,1.77E-10,5.11E-09
MRPS34,-1.253506365,3.628976345,1.89E-10,5.42E-09
ATP5MC1,-1.698077383,2.66136686,2.05E-10,5.81E-09
TMEM238,-2.470273535,0.990472106,2.13E-10,6.02E-09
RANBP1,-1.510795973,3.471912041,2.17E-10,6.11E-09
C1QBP,-1.370155061,3.697494762,2.20E-10,6.16E-09
METTL26,-1.645950952,3.154012981,2.27E-10,6.32E-09
ADA,-1.664248853,3.148208462,2.39E-10,6.64E-09
TRMT112,-1.111799949,4.159038602,2.48E-10,6.87E-09
CD6,-1.90558085,5.648472879,2.61E-10,7.21E-09
MAD1L1,-1.602189265,3.945776929,2.62E-10,7.21E-09
RPL12,-1.713143124,7.396819523,2.81E-10,7.67E-09
DRAP1,-1.575862208,6.105741779,2.82E-10,7.70E-09
ALKBH7,-1.450348203,3.578983331,2.86E-10,7.78E-09
CD79A,-1.698349542,5.381918569,2.94E-10,7.94E-09
DNPH1,-2.258682524,1.672449381,2.97E-10,8.01E-09
RRP9,-1.860461349,2.042634208,3.02E-10,8.13E-09
LINC02067,-1.711154796,2.507020212,3.21E-10,8.56E-09
NOB1,-1.274617504,3.261612595,3.27E-10,8.70E-09
NBDY,-1.543737976,2.26067815,3.41E-10,9.05E-09
RPL8,-1.411939675,8.317272889,3.48E-10,9.19E-09
GIPC1,-1.777359849,2.928413482,3.49E-10,9.21E-09
APOBEC3C,-1.418439044,4.82884656,3.85E-10,1.01E-08
VPS51,-1.270871192,5.615973942,3.85E-10,1.01E-08
HERC5,-3.388574543,5.647548212,3.98E-10,1.03E-08
AIP,-1.111867603,5.000164983,4.03E-10,1.05E-08
SPATS2L,-2.790235373,2.403743748,4.07E-10,1.05E-08
PGAP3,-1.46530021,2.759679528,4.12E-10,1.07E-08
FKBP11,-1.628382193,3.783738836,4.24E-10,1.09E-08
RPS3,-1.517321612,7.795246774,4.25E-10,1.09E-08
CNP,-1.490569624,4.994521267,4.27E-10,1.09E-08
ALG3,-1.331498697,3.013766933,4.38E-10,1.11E-08
FCMR,-1.558767978,5.827290014,4.39E-10,1.11E-08
KIF22,-1.456050624,3.363365392,4.42E-10,1.12E-08
ERI3,-1.384770224,2.260442962,4.56E-10,1.15E-08
PLEKHF1,-2.580132637,3.395024447,4.61E-10,1.16E-08
TMEM147,-1.492611837,2.595155881,4.71E-10,1.18E-08
TXN2,-1.219222524,4.309317123,4.75E-10,1.19E-08
MAP4K1,-2.469936001,2.22839682,4.86E-10,1.21E-08
APOBEC3F,-1.531028969,3.479621502,4.86E-10,1.21E-08
APOBEC3D,-1.783791578,3.59324054,4.87E-10,1.21E-08
PCED1B,-1.60148326,4.220253754,5.20E-10,1.29E-08
RPL13A,-1.699084008,8.583800245,5.23E-10,1.29E-08
TEX264,-1.308343326,3.910291399,5.23E-10,1.29E-08
CD79B,-1.658360706,4.184031225,5.41E-10,1.33E-08
NCAPH2,-1.554841161,4.308767004,5.46E-10,1.33E-08
NDUFS8,-1.406928371,3.432245275,5.50E-10,1.34E-08
MRPS7,-1.340277136,2.627845806,5.73E-10,1.39E-08
NDUFB7,-1.567120179,4.387997814,5.81E-10,1.40E-08
SIGIRR,-1.629599004,5.100669825,6.24E-10,1.49E-08
PAXX,-1.664594971,3.652546503,6.28E-10,1.50E-08
EBNA1BP2,-1.429598258,2.614081201,6.28E-10,1.50E-08
RPL3,-1.725915878,8.157177844,6.32E-10,1.50E-08
MRPL37,-1.324435735,3.564936339,6.52E-10,1.54E-08
YJU2,-1.338625905,3.288233777,6.63E-10,1.57E-08
ERG28,-1.522874851,2.075270527,6.70E-10,1.58E-08
TMIGD2,-2.137352491,2.109304992,7.06E-10,1.66E-08
LSM7,-1.956638814,2.720714069,7.29E-10,1.71E-08
RUSF1,-1.278843592,3.512563913,7.58E-10,1.77E-08
MRPL11,-1.890315967,2.508805277,7.85E-10,1.83E-08
AKR1A1,-1.355407084,3.802890571,7.94E-10,1.85E-08
PRMT7,-1.501824832,2.914120342,7.96E-10,1.85E-08
MT2A,-2.974872412,5.489399465,7.97E-10,1.85E-08
TRMT1,-1.365712444,3.237677197,8.09E-10,1.87E-08
MZB1,-3.17281473,4.639675982,8.12E-10,1.88E-08
LOC728743,-1.811766893,3.080985515,8.33E-10,1.92E-08
SORBS3,-1.625574142,3.12892245,8.47E-10,1.94E-08
SH2D2A,-2.117434232,3.744959677,8.52E-10,1.95E-08
TIMM50,-1.293884492,3.06171422,8.54E-10,1.95E-08
RPS4X,-1.557926933,7.625494536,8.66E-10,1.97E-08
RPSA,-1.866535287,7.054961832,8.67E-10,1.97E-08
HGH1,-1.538376102,2.540306588,8.92E-10,2.02E-08
WDR18,-1.440566889,2.74105961,9.11E-10,2.05E-08
CD5,-1.681146712,4.600384203,9.54E-10,2.14E-08
H1-10,-1.230402358,5.804034041,9.83E-10,2.21E-08
MIF4GD,-1.132171867,3.108491034,1.00E-09,2.25E-08
MATK,-2.194042842,4.359205406,1.03E-09,2.29E-08
RPL27A,-1.658479472,6.750515351,1.03E-09,2.29E-08
FGFBP2,-3.102854544,5.098059366,1.06E-09,2.35E-08
CCT4,-1.126985821,3.979686754,1.27E-09,2.78E-08
DNPEP,-1.53267533,3.494858024,1.28E-09,2.80E-08
TMEM219,-1.277294448,4.511435001,1.30E-09,2.83E-08
CISD3,-5.299678224,-1.171091861,1.34E-09,2.93E-08
PCYT2,-1.587858027,2.630377224,1.42E-09,3.08E-08
COPS6,-1.052947931,4.074806815,1.44E-09,3.12E-08
STMN3,-1.577583459,3.513839729,1.45E-09,3.13E-08
MAL,-2.245765478,3.456751177,1.66E-09,3.55E-08
NOP2,-1.219162866,3.556151398,1.70E-09,3.62E-08
ENTPD6,-1.367386144,3.635233886,1.71E-09,3.63E-08
EXOSC5,-1.460406773,2.115229167,1.72E-09,3.64E-08
SEC11C,-2.238706494,3.000498954,1.80E-09,3.80E-08
PVRIG,-1.57531559,4.023869938,1.83E-09,3.85E-08
HSPA8,-1.387279989,7.515854391,1.85E-09,3.88E-08
PEBP1,-1.369240846,3.970875695,1.90E-09,3.98E-08
RCC1L,-1.21329673,3.014381597,1.90E-09,3.98E-08
MRPL24,-1.551506082,2.696216626,1.91E-09,4.00E-08
CIB1,-1.119196323,4.482610787,1.94E-09,4.04E-08
RPL38,-1.345201987,5.955660691,2.02E-09,4.19E-08
ASPSCR1,-1.405084507,2.967193425,2.09E-09,4.29E-08
GPS1,-1.103306391,4.618440738,2.16E-09,4.44E-08
LDHB,-1.864685046,5.189241865,2.17E-09,4.45E-08
RTCB,-1.219507737,3.80613484,2.25E-09,4.57E-08
NSMF,-1.535354428,3.879147825,2.33E-09,4.71E-08
POLR3K,-1.510510928,1.655257226,2.35E-09,4.75E-08
GZMB,-2.615882172,5.147044297,2.41E-09,4.86E-08
MLST8,-1.297214421,3.039097552,2.47E-09,4.97E-08
RPLP0,-1.752731036,7.745510844,2.59E-09,5.18E-08
FBXO44,-1.479221816,3.392009106,2.60E-09,5.19E-08
RPL32,-1.669976921,6.906336828,2.65E-09,5.28E-08
MRPL52,-1.350486959,2.7567793,2.68E-09,5.34E-08
RPLP1,-1.438388498,8.208604559,2.80E-09,5.55E-08
IGKV1-39,-4.171002871,0.817765565,2.82E-09,5.58E-08
TESPA1,-1.673362406,4.124720067,2.91E-09,5.74E-08
PPP1R14B,-1.256567037,2.931867295,2.94E-09,5.79E-08
SIVA1,-1.581438583,1.746328332,2.95E-09,5.81E-08
RNASEH2A,-1.736290405,1.602308004,2.96E-09,5.81E-08
BLVRA,-1.70320055,3.955536042,3.01E-09,5.90E-08
GAMT,-2.172633226,0.839745335,3.15E-09,6.13E-08
PRPF19,-1.060099011,4.250989471,3.17E-09,6.16E-08
SNX8,-1.211914007,2.824228146,3.20E-09,6.22E-08
NDUFS7,-1.265647247,4.252386828,3.41E-09,6.60E-08
OAS3,-3.207845931,7.227515115,3.43E-09,6.63E-08
ADCK2,-1.444860566,2.52027911,3.43E-09,6.64E-08
GNLY,-2.554654421,6.802764646,3.51E-09,6.76E-08
IRF7,-2.163726794,3.903175747,3.52E-09,6.77E-08
DBP,-1.383457252,2.574503165,3.54E-09,6.81E-08
RPS20,-1.913152829,6.530962792,3.55E-09,6.81E-08
TIMM44,-1.43991689,2.729917646,3.62E-09,6.92E-08
TMEM160,-1.639707709,2.370240538,3.63E-09,6.92E-08
STOML2,-1.475130032,3.796167406,3.70E-09,7.05E-08
ABI3,-1.590833858,4.959534992,3.97E-09,7.48E-08
KAT2A,-1.375420461,3.594020286,4.01E-09,7.53E-08
SAE1,-1.063602828,3.796064984,4.05E-09,7.60E-08
RSAD2,-4.021258083,6.267014092,4.06E-09,7.61E-08
NDUFA11,-1.192358599,4.564650916,4.20E-09,7.85E-08
NXT1,-1.706160817,1.462662199,4.39E-09,8.17E-08
CDC25B,-1.62229157,5.453579851,4.40E-09,8.17E-08
BAK1,-1.379573339,4.568150602,4.41E-09,8.17E-08
POMGNT1,-1.353070606,2.865207746,4.61E-09,8.50E-08
SIGLEC1,-4.601551052,5.145872003,4.71E-09,8.66E-08
MRPL41,-1.465428409,3.185649236,4.72E-09,8.68E-08
FAAP100,-1.118404256,4.035536306,5.09E-09,9.29E-08
CCT3,-1.040953245,4.890048188,5.17E-09,9.43E-08
UBASH3A,-1.749461063,3.032156568,5.22E-09,9.50E-08
TMX2,-1.155557572,3.170800683,5.41E-09,9.84E-08
SNRPF,-1.7044043,2.39710917,5.47E-09,9.92E-08
RPL35,-2.390018524,5.352399893,5.48E-09,9.92E-08
HINT2,-1.777403946,1.532907604,6.11E-09,1.10E-07
ILF2,-1.106610626,4.686217573,6.45E-09,1.16E-07
RNASEH2C,-1.395546659,3.454670952,6.50E-09,1.16E-07
SSBP4,-1.632686842,4.796722122,6.52E-09,1.16E-07
LRRC45,-1.434348387,2.70341521,6.58E-09,1.17E-07
CNPY2,-1.350159631,3.190824718,6.67E-09,1.18E-07
TESK1,-1.146139263,3.748071219,6.75E-09,1.19E-07
SMYD5,-1.659495795,2.215504418,7.37E-09,1.29E-07
RPSAP58,-2.235392247,2.632325398,7.38E-09,1.29E-07
PGAM5,-1.153415748,2.878827166,7.40E-09,1.30E-07
MPI,-1.266142946,2.887130145,7.55E-09,1.32E-07
GRWD1,-1.400382005,2.89991716,7.83E-09,1.37E-07
PCBP4,-1.956029499,2.361075672,7.90E-09,1.38E-07
B3GALT6,-1.198493283,2.676048718,8.17E-09,1.42E-07
PARP12,-2.127741617,5.380090381,8.26E-09,1.43E-07
PSMA5,-1.23536534,3.946441607,8.41E-09,1.46E-07
RNF126,-1.146527749,4.333662479,9.30E-09,1.59E-07
COX5A,-1.131397449,4.02522259,9.42E-09,1.61E-07
PPP1R37,-1.305141811,2.732686472,9.82E-09,1.68E-07
LONP1,-1.074815781,3.999932923,1.01E-08,1.72E-07
COA4,-1.222115626,2.497360331,1.04E-08,1.76E-07
CENPT,-1.111866625,3.938815453,1.07E-08,1.81E-07
ZBP1,-2.250172355,6.023596718,1.08E-08,1.81E-07
VAMP8,-1.564508156,4.306655667,1.10E-08,1.84E-07
URM1,-1.182448562,3.939334605,1.10E-08,1.84E-07
CHTF18,-1.589925542,2.035333207,1.12E-08,1.87E-07
SPINDOC,-1.497087087,2.018571523,1.14E-08,1.90E-07
MRPS2,-1.463480462,2.078787875,1.15E-08,1.92E-07
TBRG4,-1.135099759,3.706021073,1.18E-08,1.96E-07
ASCL2,-2.180516413,2.300403422,1.19E-08,1.98E-07
JCHAIN,-3.112883762,5.864748061,1.24E-08,2.05E-07
ARL4C,-1.825140956,5.238910478,1.29E-08,2.13E-07
IGHG1,-3.419992858,3.430731605,1.35E-08,2.22E-07
IFIT3,-3.228884245,7.74573105,1.35E-08,2.22E-07
MGMT,-1.468767214,1.776925018,1.36E-08,2.23E-07
SF3A2,-1.063634425,4.913878715,1.39E-08,2.27E-07
TOMM22,-1.211694943,2.672911738,1.41E-08,2.29E-07
GALM,-1.760948407,3.190178282,1.42E-08,2.31E-07
PWP1,-1.182236399,2.775612398,1.52E-08,2.44E-07
PLEKHB1,-1.930356282,2.398648931,1.55E-08,2.50E-07
RPS18,-2.887492109,1.719340884,1.68E-08,2.69E-07
PNPT1,-1.876047209,2.607941933,1.71E-08,2.73E-07
TELO2,-1.239842826,3.38152699,1.72E-08,2.73E-07
TOMM40,-1.288069747,3.281448528,1.77E-08,2.80E-07
CD8B,-2.357982346,3.948135619,2.01E-08,3.14E-07
SPOCK2,-1.52613271,6.170752336,2.01E-08,3.14E-07
TNFRSF25,-1.940837255,3.296446068,2.05E-08,3.20E-07
GPATCH4,-1.451667876,1.966994776,2.05E-08,3.20E-07
QTRT1,-1.602264785,2.087685882,2.06E-08,3.21E-07
RRP7A,-1.171545653,3.76198511,2.07E-08,3.22E-07
EIF3H,-1.053722723,5.558054814,2.07E-08,3.22E-07
BST2,-1.83833607,6.289897215,2.11E-08,3.28E-07
ZAP70,-1.787983985,6.233220973,2.14E-08,3.31E-07
LAS1L,-1.163918938,2.836779719,2.18E-08,3.37E-07
GZMH,-2.968067244,5.327156223,2.19E-08,3.39E-07
TMCO4,-1.249924181,3.008336473,2.21E-08,3.40E-07
ERP29,-0.967949987,5.882471116,2.27E-08,3.50E-07
LTBP4,-1.780041511,3.921473012,2.28E-08,3.50E-07
ERCC1,-1.119418386,3.555742922,2.33E-08,3.57E-07
EIF3I,-1.095205254,4.614203738,2.33E-08,3.57E-07
MTG1,-1.314617129,2.650288045,2.40E-08,3.66E-07
TIMM13,-1.339501183,2.995661174,2.51E-08,3.82E-07
VEGFB,-1.505671619,2.963474089,2.53E-08,3.84E-07
RANGAP1,-1.097356067,4.593403736,2.54E-08,3.86E-07
TMEM134,-1.464898368,2.541520978,2.60E-08,3.94E-07
CHCHD2,-1.44302771,5.238533215,2.65E-08,4.00E-07
RITA1,-1.230603395,2.379550177,2.68E-08,4.04E-07
RPS6KB2,-1.07046397,4.85665429,2.68E-08,4.05E-07
MRPL57,-1.401525867,2.567619486,2.81E-08,4.22E-07
EIF3F,-0.97636709,5.527352447,2.82E-08,4.23E-07
SPON2,-2.154054434,4.82306362,2.86E-08,4.28E-07
ATP10A,-1.500785918,3.025909418,2.91E-08,4.35E-07
TOMM6,-1.480141949,3.54500632,2.95E-08,4.39E-07
IGLV4-69,-2.831364958,1.154593237,3.07E-08,4.55E-07
CHST12,-1.686508041,4.566460218,3.13E-08,4.62E-07
WRAP53,-1.198020804,1.945696954,3.13E-08,4.62E-07
RPS21,-2.215555014,4.762319516,3.14E-08,4.63E-07
APBB1,-1.546888894,3.110055938,3.16E-08,4.65E-07
CD81,-1.362724658,4.87913664,3.28E-08,4.82E-07
MARCHF9,-1.624952614,2.801070198,3.31E-08,4.86E-07
ALOX15,-5.453810429,1.705663377,3.41E-08,4.99E-07
FARSA,-1.067151809,3.874064083,3.47E-08,5.07E-07
FAM102A,-1.582594785,4.896310847,3.48E-08,5.08E-07
CTSW,-2.004534675,5.431870961,3.51E-08,5.11E-07
LLGL2,-1.95325044,4.235590768,3.58E-08,5.21E-07
ILF3-DT,-1.353685718,2.457683634,3.59E-08,5.22E-07
TMEM229B,-1.66214894,3.564136698,3.61E-08,5.23E-07
CCT7,-0.914577961,5.256334268,3.72E-08,5.39E-07
MRPS21,-1.797176729,2.695877583,3.82E-08,5.53E-07
RHOC,-1.490126512,3.4584894,3.83E-08,5.53E-07
AEN,-1.461431462,2.865401792,3.83E-08,5.53E-07
RPS14,-1.71478139,6.346884771,3.86E-08,5.56E-07
FAHD2A,-1.43240103,2.170042251,3.87E-08,5.57E-07
PLEKHO1,-1.43192719,6.290497342,3.88E-08,5.58E-07
MRPL2,-1.265642679,2.399441815,4.02E-08,5.77E-07
IGSF8,-1.3130472,3.586056014,4.09E-08,5.86E-07
MCM5,-1.105754939,4.166188775,4.09E-08,5.87E-07
CD52,-2.652162496,4.96597885,4.13E-08,5.92E-07
UBIAD1,-1.222265733,2.90800788,4.22E-08,6.02E-07
RPL6,-1.541089033,6.347367042,4.33E-08,6.16E-07
ALYREF,-0.978325413,3.435531801,4.65E-08,6.57E-07
SDHAF1,-1.540422221,2.138618498,4.68E-08,6.61E-07
DNLZ,-1.611107315,1.92091734,4.73E-08,6.68E-07
ACSS1,-1.042755236,4.151478275,4.80E-08,6.77E-07
RPL24,-1.781968368,5.721290691,4.83E-08,6.80E-07
EEF1G,-1.309672581,7.988046615,4.87E-08,6.85E-07
ITM2A,-1.956523087,2.782529989,5.03E-08,7.05E-07
POLRMT,-1.203757015,4.143700635,5.03E-08,7.05E-07
MRPL9,-1.285109222,2.506373722,5.12E-08,7.17E-07
STAT4,-1.596058619,3.263254925,5.31E-08,7.41E-07
REPIN1,-0.960753245,4.936722132,5.42E-08,7.56E-07
ATRAID,-1.186407809,3.748805801,5.49E-08,7.64E-07
IGLV2-23,-3.454929221,2.583806444,5.53E-08,7.69E-07
SNRPD2,-2.267429317,3.484026721,5.96E-08,8.28E-07
TMEM109,-1.126246022,4.089601181,6.27E-08,8.63E-07
IGLC2,-2.267770663,5.871109891,6.29E-08,8.65E-07
MRPL54,-1.52085187,2.810118464,6.40E-08,8.78E-07
